name,dir
sta-00.125-20um-s,0125uMsta-20um-grids
sta-00.250-20um-s,025uMsta-20um-grids
sta-00.500-20um-s,05uMsta-20um-grids
sta-01.000-20um-s,1uMsta-20um-grids
sta-02.000-20um-s,2uMsta-20um-grids
sta-04.000-20um-s,4uMsta-grids
sta-00.000-20um-s,untreated-20um-grids
sta-00.000-20um-u,untreated-unstained20um-grids
