,exp_grp,label,exp_rep,treatment,value
66,20190822-co-culture,01.00mT cells,r1,T Cell Co-Culture Titration (No Peptide),91
67,20190822-co-culture,01.00mT cells,r1,T Cell Co-Culture Titration (Peptide Pulsed),56
68,20190822-co-culture,01.00mT cells,r2,T Cell Co-Culture Titration (No Peptide),87
69,20190822-co-culture,01.00mT cells,r2,T Cell Co-Culture Titration (Peptide Pulsed),67
70,20190822-co-culture,01.00mT cells,r3,T Cell Co-Culture Titration (Peptide Pulsed),70
71,20190822-co-culture,02.00mT cells,r1,T Cell Co-Culture Titration (No Peptide),94
72,20190822-co-culture,02.00mT cells,r1,T Cell Co-Culture Titration (Peptide Pulsed),74
73,20190822-co-culture,02.00mT cells,r2,T Cell Co-Culture Titration (No Peptide),16
74,20190822-co-culture,02.00mT cells,r2,T Cell Co-Culture Titration (Peptide Pulsed),81
75,20190822-co-culture,02.00mT cells,r3,T Cell Co-Culture Titration (No Peptide),91
76,20190822-co-culture,02.00mT cells,r3,T Cell Co-Culture Titration (Peptide Pulsed),78
77,20190822-co-culture,04.00mT cells,r1,T Cell Co-Culture Titration (No Peptide),100
78,20190822-co-culture,04.00mT cells,r1,T Cell Co-Culture Titration (Peptide Pulsed),75
79,20190822-co-culture,04.00mT cells,r2,T Cell Co-Culture Titration (No Peptide),94
80,20190822-co-culture,04.00mT cells,r2,T Cell Co-Culture Titration (Peptide Pulsed),121
81,20190822-co-culture,04.00mT cells,r3,T Cell Co-Culture Titration (No Peptide),93
82,20190822-co-culture,04.00mT cells,r3,T Cell Co-Culture Titration (Peptide Pulsed),89
83,20190830-co-culture,00.00mT cells,r1,T Cell Co-Culture Titration (No Peptide),143
84,20190830-co-culture,00.00mT cells,r2,T Cell Co-Culture Titration (No Peptide),127
85,20190830-co-culture,00.00mT cells,r3,T Cell Co-Culture Titration (No Peptide),152
86,20190830-co-culture,00.50mT cells,r1,T Cell Co-Culture Titration (No Peptide),61
87,20190830-co-culture,00.50mT cells,r1,T Cell Co-Culture Titration (Peptide Pulsed),54
88,20190830-co-culture,00.50mT cells,r2,T Cell Co-Culture Titration (No Peptide),41
89,20190830-co-culture,00.50mT cells,r2,T Cell Co-Culture Titration (Peptide Pulsed),86
90,20190830-co-culture,00.50mT cells,r3,T Cell Co-Culture Titration (No Peptide),69
91,20190830-co-culture,00.50mT cells,r3,T Cell Co-Culture Titration (Peptide Pulsed),72
92,20190830-co-culture,01.00mT cells,r1,T Cell Co-Culture Titration (No Peptide),69
93,20190830-co-culture,01.00mT cells,r1,T Cell Co-Culture Titration (Peptide Pulsed),35
94,20190830-co-culture,01.00mT cells,r2,T Cell Co-Culture Titration (No Peptide),63
95,20190830-co-culture,01.00mT cells,r2,T Cell Co-Culture Titration (Peptide Pulsed),67
96,20190830-co-culture,01.00mT cells,r3,T Cell Co-Culture Titration (No Peptide),87
97,20190830-co-culture,01.00mT cells,r3,T Cell Co-Culture Titration (Peptide Pulsed),59
98,20190830-co-culture,02.00mT cells,r1,T Cell Co-Culture Titration (No Peptide),76
99,20190830-co-culture,02.00mT cells,r1,T Cell Co-Culture Titration (Peptide Pulsed),60
100,20190830-co-culture,02.00mT cells,r2,T Cell Co-Culture Titration (No Peptide),62
101,20190830-co-culture,02.00mT cells,r2,T Cell Co-Culture Titration (Peptide Pulsed),54
102,20190830-co-culture,02.00mT cells,r3,T Cell Co-Culture Titration (No Peptide),63
103,20190830-co-culture,02.00mT cells,r3,T Cell Co-Culture Titration (Peptide Pulsed),79
104,20190830-co-culture,04.00mT cells,r1,T Cell Co-Culture Titration (No Peptide),74
105,20190830-co-culture,04.00mT cells,r1,T Cell Co-Culture Titration (Peptide Pulsed),56
106,20190830-co-culture,04.00mT cells,r2,T Cell Co-Culture Titration (No Peptide),64
107,20190830-co-culture,04.00mT cells,r2,T Cell Co-Culture Titration (Peptide Pulsed),62
108,20190830-co-culture,04.00mT cells,r3,T Cell Co-Culture Titration (No Peptide),75
109,20190830-co-culture,04.00mT cells,r3,T Cell Co-Culture Titration (Peptide Pulsed),73
110,20191003-co-culture,00.00mT cells,r1,T Cell Co-Culture Titration (No Peptide),160
111,20191003-co-culture,00.00mT cells,r2,T Cell Co-Culture Titration (No Peptide),152
112,20191003-co-culture,00.00mT cells,r3,T Cell Co-Culture Titration (No Peptide),116
113,20191003-co-culture,00.25mT cells,r1,T Cell Co-Culture Titration (No Peptide),20
114,20191003-co-culture,00.25mT cells,r1,T Cell Co-Culture Titration (Peptide Pulsed),84
115,20191003-co-culture,00.25mT cells,r2,T Cell Co-Culture Titration (No Peptide),36
116,20191003-co-culture,00.25mT cells,r2,T Cell Co-Culture Titration (Peptide Pulsed),87
117,20191003-co-culture,00.25mT cells,r3,T Cell Co-Culture Titration (No Peptide),36
118,20191003-co-culture,00.25mT cells,r3,T Cell Co-Culture Titration (Peptide Pulsed),87
119,20191003-co-culture,00.50mT cells,r1,T Cell Co-Culture Titration (No Peptide),45
120,20191003-co-culture,00.50mT cells,r1,T Cell Co-Culture Titration (Peptide Pulsed),76
121,20191003-co-culture,00.50mT cells,r2,T Cell Co-Culture Titration (No Peptide),36
