label,value,exp_grp,treatment
0.125uM STA,282.41056120869587,20190703-sta-titration,Chemical Titration
0.125uM STA,214.0948939383325,20190703-sta-titration,Chemical Titration
0.125uM STA,248.6943588524984,20190703-sta-titration,Chemical Titration
0.125uM STA,167.79115832839318,20190703-sta-titration,Chemical Titration
0.125uM STA,330.93650853289034,20190703-sta-titration,Chemical Titration
0.125uM STA,120.68910635086444,20190703-sta-titration,Chemical Titration
0.125uM STA,177.06566733717366,20190703-sta-titration,Chemical Titration
0.125uM STA,242.30481193494245,20190703-sta-titration,Chemical Titration
0.125uM STA,248.93998297049401,20190703-sta-titration,Chemical Titration
0.125uM STA,387.82114555613816,20190703-sta-titration,Chemical Titration
0.125uM STA,179.80572438027454,20190703-sta-titration,Chemical Titration
0.125uM STA,234.96311765831814,20190703-sta-titration,Chemical Titration
0.125uM STA,158.8732222082433,20190703-sta-titration,Chemical Titration
0.125uM STA,309.8258797400136,20190703-sta-titration,Chemical Titration
0.125uM STA,223.13394891258443,20190703-sta-titration,Chemical Titration
0.125uM STA,285.60255284908334,20190703-sta-titration,Chemical Titration
0.125uM STA,258.8886433099354,20190703-sta-titration,Chemical Titration
0.125uM STA,339.2651689225682,20190703-sta-titration,Chemical Titration
0.125uM STA,294.17604487204517,20190703-sta-titration,Chemical Titration
0.125uM STA,169.18163306235834,20190703-sta-titration,Chemical Titration
0.125uM STA,241.4625959284637,20190703-sta-titration,Chemical Titration
0.125uM STA,236.81987979579426,20190703-sta-titration,Chemical Titration
0.125uM STA,243.60449236624612,20190703-sta-titration,Chemical Titration
0.125uM STA,164.35647289079068,20190703-sta-titration,Chemical Titration
0.125uM STA,193.9762228367527,20190703-sta-titration,Chemical Titration
0.125uM STA,241.2937999652074,20190703-sta-titration,Chemical Titration
0.125uM STA,165.83719174624105,20190703-sta-titration,Chemical Titration
0.125uM STA,165.40668468133074,20190703-sta-titration,Chemical Titration
0.125uM STA,204.50763449187082,20190703-sta-titration,Chemical Titration
0.125uM STA,340.07483636309274,20190703-sta-titration,Chemical Titration
0.125uM STA,276.4690151708529,20190703-sta-titration,Chemical Titration
0.125uM STA,245.022021486544,20190703-sta-titration,Chemical Titration
0.125uM STA,203.05809369907792,20190703-sta-titration,Chemical Titration
0.125uM STA,299.59688740981613,20190703-sta-titration,Chemical Titration
0.125uM STA,339.3252105421733,20190703-sta-titration,Chemical Titration
0.125uM STA,344.0353878288987,20190703-sta-titration,Chemical Titration
0.125uM STA,181.55336772999803,20190703-sta-titration,Chemical Titration
0.125uM STA,274.2495330654102,20190703-sta-titration,Chemical Titration
0.125uM STA,170.7994860910654,20190703-sta-titration,Chemical Titration
0.125uM STA,132.82321759335005,20190703-sta-titration,Chemical Titration
0.125uM STA,253.80255130167893,20190703-sta-titration,Chemical Titration
0.125uM STA,304.7208780481672,20190703-sta-titration,Chemical Titration
0.125uM STA,265.1859093821022,20190703-sta-titration,Chemical Titration
0.125uM STA,157.97308339337178,20190703-sta-titration,Chemical Titration
0.125uM STA,111.20118011274836,20190703-sta-titration,Chemical Titration
0.125uM STA,287.9114226987843,20190703-sta-titration,Chemical Titration
0.125uM STA,184.39248575418628,20190703-sta-titration,Chemical Titration
0.125uM STA,145.766325063577,20190703-sta-titration,Chemical Titration
0.125uM STA,302.13603293770217,20190703-sta-titration,Chemical Titration
0.125uM STA,312.3797027793305,20190703-sta-titration,Chemical Titration
0.125uM STA,174.45778308046138,20190703-sta-titration,Chemical Titration
0.125uM STA,206.73680136267453,20190703-sta-titration,Chemical Titration
0.125uM STA,298.0630176211747,20190703-sta-titration,Chemical Titration
0.125uM STA,275.98964205969105,20190703-sta-titration,Chemical Titration
0.125uM STA,141.15116859599792,20190703-sta-titration,Chemical Titration
0.125uM STA,297.96047888150105,20190703-sta-titration,Chemical Titration
0.125uM STA,298.64340546814134,20190703-sta-titration,Chemical Titration
0.125uM STA,145.55653892695136,20190703-sta-titration,Chemical Titration
0.125uM STA,78.95429570975449,20190703-sta-titration,Chemical Titration
0.125uM STA,206.5396274490852,20190703-sta-titration,Chemical Titration
0.125uM STA,164.78972361804466,20190703-sta-titration,Chemical Titration
0.125uM STA,258.6130832070346,20190703-sta-titration,Chemical Titration
0.125uM STA,204.40799617438918,20190703-sta-titration,Chemical Titration
0.125uM STA,183.173165291374,20190703-sta-titration,Chemical Titration
0.125uM STA,401.8297476607903,20190703-sta-titration,Chemical Titration
0.125uM STA,335.3394050674773,20190703-sta-titration,Chemical Titration
0.125uM STA,311.49805653515284,20190703-sta-titration,Chemical Titration
0.125uM STA,272.19911018816464,20190703-sta-titration,Chemical Titration
0.125uM STA,270.05769961700804,20190703-sta-titration,Chemical Titration
0.125uM STA,283.05903637067365,20190703-sta-titration,Chemical Titration
0.125uM STA,184.06074488144725,20190703-sta-titration,Chemical Titration
0.125uM STA,351.3012419449863,20190703-sta-titration,Chemical Titration
0.125uM STA,155.37252578296682,20190703-sta-titration,Chemical Titration
0.125uM STA,234.137997424846,20190703-sta-titration,Chemical Titration
0.125uM STA,271.6747134519661,20190703-sta-titration,Chemical Titration
0.125uM STA,262.6773637150486,20190703-sta-titration,Chemical Titration
0.125uM STA,286.63496182892726,20190703-sta-titration,Chemical Titration
0.125uM STA,234.70286675586664,20190703-sta-titration,Chemical Titration
0.125uM STA,222.90558538032417,20190703-sta-titration,Chemical Titration
0.125uM STA,204.8062586000613,20190703-sta-titration,Chemical Titration
0.125uM STA,238.74754017309533,20190703-sta-titration,Chemical Titration
0.125uM STA,189.08349059651763,20190703-sta-titration,Chemical Titration
0.250uM STA,150.8487227108895,20190703-sta-titration,Chemical Titration
0.250uM STA,111.65823580035068,20190703-sta-titration,Chemical Titration
0.250uM STA,207.4745346504153,20190703-sta-titration,Chemical Titration
0.250uM STA,299.56288674155593,20190703-sta-titration,Chemical Titration
0.250uM STA,206.1941194064384,20190703-sta-titration,Chemical Titration
0.250uM STA,257.27045009777686,20190703-sta-titration,Chemical Titration
0.250uM STA,249.34881882316483,20190703-sta-titration,Chemical Titration
0.250uM STA,329.05362919177514,20190703-sta-titration,Chemical Titration
0.250uM STA,303.4479920435246,20190703-sta-titration,Chemical Titration
0.250uM STA,148.260606704235,20190703-sta-titration,Chemical Titration
0.250uM STA,263.9539124315229,20190703-sta-titration,Chemical Titration
0.250uM STA,219.68357176548642,20190703-sta-titration,Chemical Titration
0.250uM STA,215.80085631950885,20190703-sta-titration,Chemical Titration
0.250uM STA,313.25886769863115,20190703-sta-titration,Chemical Titration
0.250uM STA,275.54640359047914,20190703-sta-titration,Chemical Titration
0.250uM STA,225.17879924525118,20190703-sta-titration,Chemical Titration
0.250uM STA,147.50294010776346,20190703-sta-titration,Chemical Titration
0.250uM STA,228.27866323185086,20190703-sta-titration,Chemical Titration
0.250uM STA,203.40892862830242,20190703-sta-titration,Chemical Titration
0.250uM STA,242.01036973199612,20190703-sta-titration,Chemical Titration
0.250uM STA,169.18163306235834,20190703-sta-titration,Chemical Titration
0.250uM STA,173.57978161817374,20190703-sta-titration,Chemical Titration
0.250uM STA,215.09168300400847,20190703-sta-titration,Chemical Titration
0.250uM STA,332.7169051573034,20190703-sta-titration,Chemical Titration
0.250uM STA,163.54881948762667,20190703-sta-titration,Chemical Titration
0.250uM STA,219.77628481952542,20190703-sta-titration,Chemical Titration
0.250uM STA,303.1793350700553,20190703-sta-titration,Chemical Titration
0.250uM STA,291.07808619828575,20190703-sta-titration,Chemical Titration
0.250uM STA,260.26206750102995,20190703-sta-titration,Chemical Titration
0.250uM STA,229.34705594818317,20190703-sta-titration,Chemical Titration
0.250uM STA,363.52727384221396,20190703-sta-titration,Chemical Titration
0.250uM STA,310.81060267974493,20190703-sta-titration,Chemical Titration
0.250uM STA,283.2389048747949,20190703-sta-titration,Chemical Titration
0.250uM STA,311.8575466219323,20190703-sta-titration,Chemical Titration
0.250uM STA,281.39885174991247,20190703-sta-titration,Chemical Titration
0.250uM STA,242.05245483269368,20190703-sta-titration,Chemical Titration
0.250uM STA,284.31572629059065,20190703-sta-titration,Chemical Titration
0.250uM STA,196.8431503135948,20190703-sta-titration,Chemical Titration
0.250uM STA,210.01194687356724,20190703-sta-titration,Chemical Titration
0.250uM STA,214.94956757190647,20190703-sta-titration,Chemical Titration
0.250uM STA,164.04630754004307,20190703-sta-titration,Chemical Titration
0.250uM STA,198.59473340881016,20190703-sta-titration,Chemical Titration
0.250uM STA,321.3167412437218,20190703-sta-titration,Chemical Titration
0.250uM STA,139.18912641686578,20190703-sta-titration,Chemical Titration
0.250uM STA,323.6226073557525,20190703-sta-titration,Chemical Titration
