,exp_grp,exp_name,exp_has_peptide,exp_sta_conc,exp_cell_count,exp_rep,xbin,value
43,20190719-co-culture,00.0mT-np-4uMsta-XY02-2,No Peptide,4.000uM,00.00mT,r2,09,3.5918880198253365
44,20190719-co-culture,00.0mT-np-4uMsta-XY03-3,No Peptide,4.000uM,00.00mT,r3,00,3.3615237104551454
45,20190719-co-culture,00.0mT-np-4uMsta-XY03-3,No Peptide,4.000uM,00.00mT,r3,01,3.450038155101645
46,20190719-co-culture,00.0mT-np-4uMsta-XY03-3,No Peptide,4.000uM,00.00mT,r3,02,3.4041281357328965
47,20190719-co-culture,00.0mT-np-4uMsta-XY03-3,No Peptide,4.000uM,00.00mT,r3,03,3.3996805306272475
48,20190719-co-culture,00.0mT-np-4uMsta-XY03-3,No Peptide,4.000uM,00.00mT,r3,04,3.4079063510513867
49,20190719-co-culture,00.0mT-np-4uMsta-XY03-3,No Peptide,4.000uM,00.00mT,r3,05,3.4932459796346924
50,20190719-co-culture,00.0mT-np-4uMsta-XY03-3,No Peptide,4.000uM,00.00mT,r3,06,3.607650386923136
51,20190719-co-culture,00.0mT-np-4uMsta-XY03-3,No Peptide,4.000uM,00.00mT,r3,07,3.5735902181046106
52,20190719-co-culture,00.0mT-np-4uMsta-XY03-3,No Peptide,4.000uM,00.00mT,r3,08,3.7461956000720233
53,20190719-co-culture,02.5mT-np-0uMsta-XY01-1,No Peptide,0.000uM,02.50mT,r1,00,2.9200194590551245
54,20190719-co-culture,02.5mT-np-0uMsta-XY01-1,No Peptide,0.000uM,02.50mT,r1,01,3.000108500226788
55,20190719-co-culture,02.5mT-np-0uMsta-XY01-1,No Peptide,0.000uM,02.50mT,r1,02,3.018761819103765
56,20190719-co-culture,02.5mT-np-0uMsta-XY01-1,No Peptide,0.000uM,02.50mT,r1,03,3.0311404644380326
57,20190719-co-culture,02.5mT-np-0uMsta-XY01-1,No Peptide,0.000uM,02.50mT,r1,04,3.0406142110469347
58,20190719-co-culture,02.5mT-np-0uMsta-XY01-1,No Peptide,0.000uM,02.50mT,r1,05,2.9802977637945163
59,20190719-co-culture,02.5mT-np-0uMsta-XY01-1,No Peptide,0.000uM,02.50mT,r1,06,3.0316272665147665
60,20190719-co-culture,02.5mT-np-0uMsta-XY01-1,No Peptide,0.000uM,02.50mT,r1,07,3.033702607903905
61,20190719-co-culture,02.5mT-np-0uMsta-XY01-1,No Peptide,0.000uM,02.50mT,r1,08,2.9775815685226728
62,20190719-co-culture,02.5mT-np-0uMsta-XY02-2,No Peptide,0.000uM,02.50mT,r2,00,3.17762711445327
63,20190719-co-culture,02.5mT-np-0uMsta-XY02-2,No Peptide,0.000uM,02.50mT,r2,01,3.0917814563722423
64,20190719-co-culture,02.5mT-np-0uMsta-XY02-2,No Peptide,0.000uM,02.50mT,r2,02,3.144400381662185
65,20190719-co-culture,02.5mT-np-0uMsta-XY02-2,No Peptide,0.000uM,02.50mT,r2,03,3.129234563193995
66,20190719-co-culture,02.5mT-np-0uMsta-XY02-2,No Peptide,0.000uM,02.50mT,r2,04,3.096280059478766
67,20190719-co-culture,02.5mT-np-0uMsta-XY02-2,No Peptide,0.000uM,02.50mT,r2,05,3.0667605153399826
68,20190719-co-culture,02.5mT-np-0uMsta-XY02-2,No Peptide,0.000uM,02.50mT,r2,06,3.0827294606274087
69,20190719-co-culture,02.5mT-np-0uMsta-XY02-2,No Peptide,0.000uM,02.50mT,r2,07,3.0932426841883047
70,20190719-co-culture,02.5mT-np-0uMsta-XY02-2,No Peptide,0.000uM,02.50mT,r2,08,3.00979166149166
71,20190719-co-culture,02.5mT-np-0uMsta-XY03-3,No Peptide,0.000uM,02.50mT,r3,00,3.2090775124568993
72,20190719-co-culture,02.5mT-np-0uMsta-XY03-3,No Peptide,0.000uM,02.50mT,r3,01,3.0297182030788314
